Rk,Name,,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W
1,Ehire Adrianza\redirect.fcgi?player=1&mlb_ID=501303,gl,29,13,MLB-AL,Minnesota,1,0,,,,1.0,5,3,3,0,1,0,0,27.00,8,2,1,0,0,0,0,0,0,8,21,67%,19%,10%,29%,57%,0%,5.000,.714,9.0,
2,Dario Agrazal\redirect.fcgi?player=1&mlb_ID=642607,gl,24,4,MLB-NL,Pittsburgh,2,2,,1,,11.1,7,6,6,2,6,3,2,4.76,40,1,1,0,1,0,0,0,0,44,171,68%,21%,8%,41%,12%,12%,0.794,.129,4.8,3.00
3,Matt Albers\redirect.fcgi?player=1&mlb_ID=458006,gl,36,0,MLB-NL,Milwaukee,6,0,1,,,5.1,2,0,0,1,7,0,0,0.00,17,1,0,0,1,0,0,0,0,18,71,63%,25%,7%,50%,20%,10%,0.563,.200,11.8,7.00
4,Sandy Alcantara\redirect.fcgi?player=1&mlb_ID=645261,gl,23,4,MLB-NL,Miami,2,2,,,,11.0,12,8,8,6,8,2,0,6.55,43,3,1,0,0,0,1,1,1,49,198,62%,13%,11%,28%,33%,8%,1.636,.303,6.5,1.33
5,Victor Alcantara\redirect.fcgi?player=1&mlb_ID=622505,gl,26,11,MLB-AL,Detroit,1,0,,,,0.2,3,1,1,0,0,0,0,13.50,5,0,0,0,0,0,0,0,0,5,23,70%,17%,0%,100%,0%,0%,4.500,.600,0.0,
6,Tyler Alexander\redirect.fcgi?player=1&mlb_ID=641302,gl,24,3,MLB-AL,Detroit,2,2,,1,,11.1,11,5,5,2,10,0,1,3.97,43,2,1,0,2,0,0,0,0,46,180,65%,16%,10%,33%,27%,3%,1.147,.333,7.9,5.00
7,Logan Allen\redirect.fcgi?player=1&mlb_ID=663531,gl,22,4,MLB-NL,San Diego,3,0,,1,,5.0,5,3,3,4,1,2,0,5.40,20,0,0,0,0,0,0,0,0,24,69,61%,10%,7%,45%,30%,0%,1.800,.176,1.8,0.25
8,Yency Almonte\redirect.fcgi?player=1&mlb_ID=622075,gl,25,11,MLB-NL,Colorado,1,0,,,,2.0,4,3,3,0,0,1,0,13.50,11,0,0,0,0,0,1,0,0,11,42,67%,19%,12%,27%,18%,18%,2.000,.300,0.0,
9,Jose Alvarez\redirect.fcgi?player=1&mlb_ID=501625,gl,30,3,MLB-NL,Philadelphia,4,0,1,,,5.0,2,0,0,1,5,0,0,0.00,16,0,0,1,0,0,0,0,0,17,68,68%,10%,22%,67%,8%,17%,0.600,.182,9.0,5.00
10,Brett Anderson\redirect.fcgi?player=1&mlb_ID=474463,gl,31,5,MLB-AL,Oakland,2,2,,1,,10.2,11,8,8,1,6,3,0,6.75,41,3,0,0,1,1,0,0,0,43,160,66%,14%,6%,47%,31%,8%,1.125,.242,5.1,6.00
11,Chase Anderson\redirect.fcgi?player=1&mlb_ID=502624,gl,31,3,MLB-NL,Milwaukee,3,3,1,,,16.1,12,4,4,6,13,1,1,2.20,58,3,0,0,0,0,2,1,0,66,269,64%,15%,9%,28%,20%,17%,1.102,.250,7.2,2.17
12,Justin Anderson\redirect.fcgi?player=1&mlb_ID=605121,gl,26,1,MLB-AL,Los Angeles,5,0,,,,5.1,3,2,2,4,7,0,0,3.38,17,0,0,0,0,0,0,0,0,22,88,57%,17%,15%,40%,20%,0%,1.313,.300,11.8,1.75
13,Nick Anderson\redirect.fcgi?player=1&mlb_ID=623433,gl,28,1,MLB-NL,Miami,5,0,,,,5.1,3,0,0,2,10,0,0,0.00,19,0,1,0,0,0,0,0,0,21,97,67%,19%,16%,22%,44%,0%,0.938,.333,16.9,5.00
14,Shaun Anderson\redirect.fcgi?player=1&mlb_ID=641312,gl,24,3,MLB-NL,San Francisco,3,3,,1,,14.1,18,12,12,6,13,4,2,7.53,59,5,1,1,2,0,0,0,0,67,242,60%,13%,14%,39%,25%,14%,1.674,.333,8.2,2.17
15,Matt Andriese\redirect.fcgi?player=1&mlb_ID=542882,gl,29,11,MLB-NL,Arizona,2,0,,,,1.1,5,3,3,0,3,1,0,20.25,9,2,0,0,0,0,0,0,0,9,41,71%,12%,20%,33%,17%,0%,3.750,.800,20.3,
16,Chris Archer\redirect.fcgi?player=1&mlb_ID=502042,gl,30,2,MLB-NL,Pittsburgh,3,3,,2,,17.0,17,13,12,8,18,4,1,6.35,68,3,0,0,0,2,1,0,0,79,305,63%,18%,11%,25%,33%,13%,1.471,.271,9.5,2.25
17,Rogelio Armenteros\redirect.fcgi?player=1&mlb_ID=660494,gl,25,9,MLB-AL,Houston,1,1,1,,,5.0,2,1,1,2,6,0,0,1.80,17,0,0,0,0,0,0,0,0,19,91,60%,15%,13%,30%,20%,30%,0.800,.182,10.8,3.00
18,Shawn Armstrong\redirect.fcgi?player=1&mlb_ID=542888,gl,28,0,MLB-AL,Baltimore,5,0,,,1,7.0,2,2,2,3,5,0,0,2.57,23,1,0,0,0,0,0,0,0,26,123,63%,13%,11%,28%,22%,28%,0.714,.111,6.4,1.67
19,Jake Arrieta\redirect.fcgi?player=1&mlb_ID=453562,gl,33,4,MLB-NL,Philadelphia,2,2,,1,,10.2,11,6,5,5,8,1,0,4.22,40,2,0,1,0,0,3,0,0,46,166,62%,15%,5%,62%,24%,3%,1.500,.323,6.8,1.60
20,Luis Avilan\redirect.fcgi?player=1&mlb_ID=501593,gl,29,4,MLB-NL,New York,5,0,,,,3.2,3,0,0,1,3,0,0,0.00,14,0,0,0,0,0,0,0,0,15,58,60%,12%,10%,36%,18%,9%,1.091,.273,7.4,3.00
21,Michel Baez\redirect.fcgi?player=1&mlb_ID=673258,gl,23,0,MLB-NL,San Diego,4,0,,,,4.2,5,0,0,1,6,0,1,0.00,19,0,0,1,0,0,1,0,0,21,88,65%,11%,13%,46%,31%,15%,1.286,.385,11.6,6.00
22,Pedro Baez\redirect.fcgi?player=1&mlb_ID=520980,gl,31,4,MLB-NL,Los Angeles,4,0,2,,,4.1,1,0,0,2,4,0,0,0.00,13,0,0,0,1,0,0,0,0,15,61,62%,18%,13%,60%,20%,20%,0.692,.111,8.3,2.00
23,Homer Bailey\redirect.fcgi?player=1&mlb_ID=456701,gl,33,3,MLB-AL,Oakland,3,3,2,1,,14.2,22,14,14,4,15,3,1,8.59,65,3,3,0,1,0,1,0,0,70,258,63%,16%,8%,41%,27%,8%,1.773,.404,9.2,3.75
24,Luke Bard\redirect.fcgi?player=1&mlb_ID=572703,gl,28,2,MLB-AL,Los Angeles,2,0,,,,5.0,5,3,3,2,1,1,0,5.40,20,1,0,0,0,0,1,0,0,22,87,61%,10%,7%,26%,26%,16%,1.400,.222,1.8,0.50
25,Scott Barlow\redirect.fcgi?player=1&mlb_ID=605130,gl,26,1,MLB-AL,Kansas City,5,0,,,,6.0,3,1,1,3,9,0,0,1.50,20,1,0,1,0,0,1,0,0,24,102,67%,9%,25%,55%,18%,9%,1.000,.273,13.5,3.00
26,Matt Barnes\redirect.fcgi?player=1&mlb_ID=598264,gl,29,0,MLB-AL,Boston,5,0,,,,4.1,1,0,0,2,8,0,0,0.00,14,1,0,0,0,0,0,0,0,16,77,64%,16%,17%,33%,33%,0%,0.692,.167,16.6,4.00
27,Kyle Barraclough\redirect.fcgi?player=1&mlb_ID=607457,gl,29,4,MLB-NL,Washington,1,0,,,,0.1,1,1,1,0,0,1,0,27.00,2,0,0,0,0,0,0,0,0,2,8,38%,0%,0%,0%,0%,0%,3.000,.000,0.0,
28,Jaime Barria\redirect.fcgi?player=1&mlb_ID=642545,gl,22,1,MLB-AL,Los Angeles,3,2,1,2,,13.2,16,14,13,6,12,5,0,8.56,57,5,0,0,0,0,0,0,0,63,258,61%,17%,10%,32%,32%,9%,1.610,.275,7.9,2.00
29,Tyler Bashlor\redirect.fcgi?player=1&mlb_ID=641341,gl,26,2,MLB-NL,New York,4,0,,,,3.2,4,3,3,2,2,1,0,7.36,14,0,0,0,1,0,0,0,0,16,53,68%,19%,11%,58%,0%,8%,1.636,.273,4.9,1.00
30,Anthony Bass\redirect.fcgi?player=1&mlb_ID=542914,gl,31,0,MLB-AL,Seattle,6,0,,,,6.0,3,0,0,0,9,0,0,0.00,21,0,0,0,0,0,0,0,0,21,85,66%,24%,18%,67%,17%,0%,0.500,.250,13.5,
31,Chris Bassitt\redirect.fcgi?player=1&mlb_ID=605135,gl,30,0,MLB-AL,Oakland,3,3,1,1,,17.0,13,7,6,3,15,3,3,3.18,62,2,0,0,2,0,1,0,0,69,271,65%,18%,9%,40%,26%,9%,0.941,.227,7.9,5.00
32,Trevor Bauer\redirect.fcgi?player=1&mlb_ID=545333,gl,28,2,MLB-AL,Cleveland,3,3,1,1,,18.2,17,11,10,9,25,2,0,4.82,71,4,0,0,1,0,1,0,0,80,328,61%,18%,14%,40%,27%,8%,1.393,.341,12.1,2.78
33,Cam Bedrosian\redirect.fcgi?player=1&mlb_ID=592135,gl,27,1,MLB-AL,Los Angeles,5,0,,,,5.0,3,0,0,0,3,0,0,0.00,17,0,0,0,2,0,0,0,0,17,59,64%,15%,12%,47%,33%,0%,0.600,.214,5.4,
34,Tyler Beede\redirect.fcgi?player=1&mlb_ID=595881,gl,26,0,MLB-NL,San Francisco,3,3,,2,,18.2,23,8,8,4,16,4,1,3.86,78,4,0,0,0,0,0,1,1,83,280,67%,14%,14%,39%,27%,10%,1.446,.328,7.7,4.00
