Rk,Name,,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
1,Jose Abreu\redirect.fcgi?player=1&mlb_ID=547989,gl,32,1,MLB-AL,Chicago,4,17,15,3,4,1,0,1,4,2,0,6,0,0,0,0,0,0,.267,.353,.533,.886
2,Ronald Acuna Jr.\redirect.fcgi?player=1&mlb_ID=660670,gl,21,1,MLB-NL,Atlanta,3,15,11,4,4,0,0,1,2,3,0,4,1,0,0,0,3,0,.364,.533,.636,1.170
3,Willy Adames\redirect.fcgi?player=1&mlb_ID=642715,gl,23,1,MLB-AL,Tampa Bay,4,16,15,1,1,0,0,0,0,1,0,7,0,0,0,0,0,0,.067,.125,.067,.192
4,Matt Adams\redirect.fcgi?player=1&mlb_ID=571431,gl,30,1,MLB-NL,Washington,3,12,12,2,3,0,0,1,3,0,0,4,0,0,0,0,0,0,.250,.250,.500,.750
5,Ehire Adrianza\redirect.fcgi?player=1&mlb_ID=501303,gl,29,1,MLB-AL,Minnesota,3,12,10,5,4,2,1,0,2,2,0,1,0,0,0,0,0,0,.400,.500,.800,1.300
6,Dario Agrazal\redirect.fcgi?player=1&mlb_ID=642607,gl,24,3,MLB-NL,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,.000,.000,.000
7,Jesus Aguilar\redirect.fcgi?player=1&mlb_ID=542583,gl,29,1,MLB-NL,Milwaukee,3,10,8,2,2,1,0,0,0,2,0,2,0,0,0,1,0,0,.250,.400,.375,.775
8,Nick Ahmed\redirect.fcgi?player=1&mlb_ID=605113,gl,29,1,MLB-NL,Arizona,4,15,12,3,4,1,0,0,1,3,0,2,0,0,0,0,0,0,.333,.467,.417,.883
9,Hanser Alberto\redirect.fcgi?player=1&mlb_ID=593643,gl,26,1,MLB-AL,Baltimore,4,11,11,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,.364,.364,.636,1.000
10,Ozzie Albies\redirect.fcgi?player=1&mlb_ID=645277,gl,22,1,MLB-NL,Atlanta,3,13,11,2,4,1,0,0,0,2,0,3,0,0,0,0,1,0,.364,.462,.455,.916
11,Sandy Alcantara\redirect.fcgi?player=1&mlb_ID=645261,gl,23,4,MLB-NL,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000
12,Jorge Alfaro\redirect.fcgi?player=1&mlb_ID=595751,gl,26,1,MLB-NL,Miami,4,12,11,1,3,0,0,1,2,0,0,4,0,0,1,0,0,0,.273,.250,.545,.795
13,Greg Allen\redirect.fcgi?player=1&mlb_ID=656185,gl,26,1,MLB-AL,Cleveland,4,9,8,1,3,1,0,0,0,1,0,1,0,0,0,0,2,0,.375,.444,.500,.944
14,Albert Almora\redirect.fcgi?player=1&mlb_ID=546991,gl,25,1,MLB-NL,Chicago,4,14,14,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.071,.071,.071,.143
15,Pete Alonso\redirect.fcgi?player=1&mlb_ID=624413,gl,24,1,MLB-NL,New York,3,10,5,3,1,0,0,1,3,5,0,1,0,0,0,0,0,0,.200,.600,.800,1.400
16,Yonder Alonso\redirect.fcgi?player=1&mlb_ID=475174,gl,32,1,MLB-NL,Colorado,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000
17,Jose Altuve\redirect.fcgi?player=1&mlb_ID=514888,gl,29,1,MLB-AL,Houston,3,13,12,2,5,1,0,1,2,1,0,1,0,0,0,1,1,0,.417,.462,.750,1.212
18,Yordan Alvarez\redirect.fcgi?player=1&mlb_ID=670541,gl,22,1,MLB-AL,Houston,4,18,15,3,5,1,0,1,3,3,0,4,0,0,0,0,0,0,.333,.444,.600,1.044
19,Brian Anderson\redirect.fcgi?player=1&mlb_ID=605119,gl,26,1,MLB-NL,Miami,4,16,16,2,3,3,0,0,2,0,0,4,0,0,0,1,0,0,.188,.188,.375,.563
20,Chase Anderson\redirect.fcgi?player=1&mlb_ID=502624,gl,31,2,MLB-NL,Milwaukee,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000
21,Shaun Anderson\redirect.fcgi?player=1&mlb_ID=641312,gl,24,2,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000
22,Elvis Andrus\redirect.fcgi?player=1&mlb_ID=462101,gl,30,1,MLB-AL,Texas,4,15,15,1,4,1,0,0,0,0,0,3,0,0,0,0,1,0,.267,.267,.333,.600
23,Chris Archer\redirect.fcgi?player=1&mlb_ID=502042,gl,30,1,MLB-NL,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000
24,Orlando Arcia\redirect.fcgi?player=1&mlb_ID=606115,gl,24,1,MLB-NL,Milwaukee,4,11,10,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,.200,.273,.200,.473
25,Nolan Arenado\redirect.fcgi?player=1&mlb_ID=571448,gl,28,1,MLB-NL,Colorado,3,12,11,1,3,1,0,1,5,1,1,2,0,0,0,0,0,0,.273,.333,.636,.970
26,Luis Arraez\redirect.fcgi?player=1&mlb_ID=650333,gl,22,1,MLB-AL,Minnesota,4,18,16,2,5,0,0,0,1,2,0,3,0,0,0,0,0,0,.313,.389,.313,.701
27,Humberto Arteaga\redirect.fcgi?player=1&mlb_ID=600858,gl,25,1,MLB-AL,Kansas City,3,12,11,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,.000,.083,.000,.083
