Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (13056732),Jacob deGrom,13056732,P,11800,NYM@CWS 08/01/2019 02:10PM ET,NYM,21.89
SP,Jose Berrios (13056733),Jose Berrios,13056733,P,10700,MIN@MIA 08/01/2019 12:10PM ET,MIN,19.92
SP,Caleb Smith (13056734),Caleb Smith,13056734,P,10600,MIN@MIA 08/01/2019 12:10PM ET,MIA,19.49
SP,Zack Wheeler (13056398),Zack Wheeler,13056398,P,10400,NYM@CWS 08/01/2019 02:10PM ET,NYM,17.82
SP,Noah Syndergaard (13056735),Noah Syndergaard,13056735,P,10300,NYM@CWS 08/01/2019 02:10PM ET,NYM,18.28
SP,Lucas Giolito (13056736),Lucas Giolito,13056736,P,10300,NYM@CWS 08/01/2019 02:10PM ET,CWS,21.59
SP,Frankie Montas (13056737),Frankie Montas,13056737,P,10100,MIL@OAK 08/01/2019 03:37PM ET,OAK,21.03
SP,Brandon Woodruff (13056738),Brandon Woodruff,13056738,P,10000,MIL@OAK 08/01/2019 03:37PM ET,MIL,15.88
SP,Madison Bumgarner (13056739),Madison Bumgarner,13056739,P,9700,SF@PHI 08/01/2019 01:05PM ET,SF,17.45
SP,Aaron Nola (13056740),Aaron Nola,13056740,P,9600,SF@PHI 08/01/2019 01:05PM ET,PHI,18.41
SP,Carlos Rodon (13056741),Carlos Rodon,13056741,P,9500,NYM@CWS 08/01/2019 02:10PM ET,CWS,15.91
SP,Jake Odorizzi (13056743),Jake Odorizzi,13056743,P,9400,MIN@MIA 08/01/2019 12:10PM ET,MIN,16.63
SP,Jesus Luzardo (13056742),Jesus Luzardo,13056742,P,9400,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Marcus Stroman (13056744),Marcus Stroman,13056744,P,9300,NYM@CWS 08/01/2019 02:10PM ET,NYM,15.65
SP,Michael Pineda (13056399),Michael Pineda,13056399,P,9300,MIN@MIA 08/01/2019 12:10PM ET,MIN,14.54
SP,Chris Bassitt (13056745),Chris Bassitt,13056745,P,9200,MIL@OAK 08/01/2019 03:37PM ET,OAK,15.79
SP,Freddy Peralta (13056746),Freddy Peralta,13056746,P,9200,MIL@OAK 08/01/2019 03:37PM ET,MIL,8.61
SP,Andrew Triggs (13056747),Andrew Triggs,13056747,P,8900,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Martin Perez (13056748),Martin Perez,13056748,P,8800,MIN@MIA 08/01/2019 12:10PM ET,MIN,13.00
SP,Johnny Cueto (13056749),Johnny Cueto,13056749,P,8700,SF@PHI 08/01/2019 01:05PM ET,SF,0
SP,Hector Santiago (13056750),Hector Santiago,13056750,P,8600,NYM@CWS 08/01/2019 02:10PM ET,CWS,1.62
SP,Dylan Cease (13056400),Dylan Cease,13056400,P,8400,NYM@CWS 08/01/2019 02:10PM ET,CWS,10.06
SP,Lewis Thorpe (13056751),Lewis Thorpe,13056751,P,8400,MIN@MIA 08/01/2019 12:10PM ET,MIN,9.98
SP,Jharel Cotton (13056752),Jharel Cotton,13056752,P,8300,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Brent Suter (13056753),Brent Suter,13056753,P,8300,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SP,Mike Fiers (13056754),Mike Fiers,13056754,P,8300,MIL@OAK 08/01/2019 03:37PM ET,OAK,14.17
SP,Tanner Roark (13056755),Tanner Roark,13056755,P,8300,MIL@OAK 08/01/2019 03:37PM ET,OAK,13.56
SP,Chris Flexen (13056757),Chris Flexen,13056757,P,8200,NYM@CWS 08/01/2019 02:10PM ET,NYM,1.63
SP,Sean Manaea (13056756),Sean Manaea,13056756,P,8200,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Jeff Samardzija (13056758),Jeff Samardzija,13056758,P,8100,SF@PHI 08/01/2019 01:05PM ET,SF,15.05
SP,Zach Eflin (13056760),Zach Eflin,13056760,P,8100,SF@PHI 08/01/2019 01:05PM ET,PHI,12.61
SP,Grant Holmes (13056759),Grant Holmes,13056759,P,8100,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Jordan Yamamoto (13056401),Jordan Yamamoto,13056401,P,7900,MIN@MIA 08/01/2019 12:10PM ET,MIA,14.54
